Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
290390,Alaid,Stratovolcano,2018,Russia,Kuril Islands,Kuril Islands,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,64,64,2887
221060,Alu-Dalafilla,Fissure vent(s),2008,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyte / Trachydacite,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,0,9,11209,478054
257040,Ambrym,Pyroclastic shield,2018,Vanuatu,Melanesia and Australia,Vanuatu,-16.25,168.12,1334,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,9,186,10826,63999
284200,Anatahan,Stratovolcano,2008,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,0
283110,Asamayama,Complex,2019,Japan,"Japan, Taiwan, Marianas",Honshu,36.406,138.523,2568,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,583,22371,457576,7629353
313010,Augustine,Lava dome(s),2006,United States,Alaska,Alaska (southwestern),59.363,-153.43,1252,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,0,0,0,759
353060,"Azul, Cerro",Shield,2008,Ecuador,South America,Galapagos Islands,-0.92,-91.408,1640,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,220,220,314,1936
265090,Banda Api,Caldera,1988,Indonesia,Indonesia,Banda Sea,-4.523,129.881,596,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Ê,Ê,Ê,Ê,Ê,Ê,Ê,5682,5682,5810,5810
373030,Bardarbunga,Stratovolcano,2015,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),64.633,-17.516,2000,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,0,1348
260010,Barren Island,Stratovolcano,2021,India,Indonesia,Andaman Islands,12.278,93.858,354,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,645,645,645,5035
300250,Bezymianny,Stratovolcano,2021,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,55.972,160.595,2882,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,0,0,47,11728
273010,Bulusan,Stratovolcano(es),2017,Philippines,Philippines and SE Asia,Luzon,12.769,124.056,1535,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Ê,Ê,Ê,Basalt / Picro-Basalt,Rhyolite,Ê,Ê,Ê,2789,74286,518705,3360418
358020,Calbuco,Stratovolcano,2015,Chile,South America,Southern Chile and Argentina,-41.33,-72.618,1974,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,70,871,32265,575233
224010,Cameroon,Stratovolcano,2000,Cameroon,Africa and Red Sea,Africa (western),4.203,9.17,4095,Intraplate / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite,Ê,Ê,Trachyte / Trachydacite,Foidite,Ê,Ê,Ê,328,26053,417460,3079036
358041,Chaiten,Caldera,2011,Chile,South America,Southern Chile and Argentina,-42.833,-72.646,1122,Subduction zone / Continental crust (>25 km),Eruption Observed,Rhyolite,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,Ê,8968,8968,9280,75311
